,TF-IDF
писал,0.0028640418941365885
votre,0.0028640418941365885
всему,0.0028640418941365885
состоянии,0.0028640418941365885
другими,0.0028640418941365885
такая,0.0028640418941365885
везде,0.0028640418941365885
прошу,0.0028640418941365885
некоторые,0.0028640418941365885
ходить,0.0028640418941365885
анатоля,0.0028640418941365885
несвицкий,0.0028640418941365885
души,0.0028640418941365885
страх,0.0028178476700376114
поцеловал,0.0028178476700376114
сказали,0.0028178476700376114
дал,0.0028178476700376114
старался,0.0028178476700376114
лежал,0.0028178476700376114
горы,0.0028178476700376114
стояла,0.0028178476700376114
громко,0.0028178476700376114
князем,0.0028178476700376114
тело,0.0028178476700376114
рассказывал,0.002771653445938634
штаб,0.002771653445938634
пожалуйста,0.002771653445938634
французские,0.002771653445938634
мост,0.002771653445938634
остановилась,0.002771653445938634
французский,0.002771653445938634
слышались,0.002771653445938634
мое,0.002771653445938634
сильнее,0.002725459221839657
шагов,0.002725459221839657
перебил,0.002725459221839657
бонапарте,0.002725459221839657
хочешь,0.002725459221839657
мира,0.002725459221839657
вопросительно,0.002725459221839657
хотите,0.002725459221839657
au,0.002725459221839657
крики,0.002725459221839657
раза,0.002725459221839657
желание,0.002725459221839657
отношении,0.002725459221839657
ногу,0.002725459221839657
александр,0.002725459221839657
сделали,0.0026792649977406794
конце,0.0026792649977406794
маленькая,0.0026792649977406794
вернулся,0.0026792649977406794
другую,0.0026792649977406794
неужели,0.0026792649977406794
доктора,0.0026792649977406794
руке,0.0026792649977406794
гусар,0.0026792649977406794
десять,0.0026792649977406794
счастье,0.0026792649977406794
показалось,0.0026792649977406794
денег,0.0026792649977406794
ногами,0.0026792649977406794
мальчик,0.0026792649977406794
смерть,0.0026792649977406794
слегка,0.0026330707736417023
поднял,0.0026330707736417023
сквозь,0.0026330707736417023
войско,0.0026330707736417023
поля,0.0026330707736417023
речи,0.0026330707736417023
полковник,0.0026330707736417023
александра,0.0026330707736417023
тобой,0.0026330707736417023
жалко,0.0026330707736417023
вчера,0.0026330707736417023
чему,0.002586876549542725
человеку,0.002586876549542725
словами,0.002586876549542725
вслед,0.002586876549542725
лицами,0.002586876549542725
нечего,0.002586876549542725
se,0.002586876549542725
французски,0.002586876549542725
нашел,0.002586876549542725
женщина,0.002586876549542725
четыре,0.002586876549542725
empereur,0.002586876549542725
анны,0.002586876549542725
трех,0.002586876549542725
крик,0.002586876549542725
слава,0.002586876549542725
балашев,0.0025406823254437477
навстречу,0.0025406823254437477
значит,0.0025406823254437477
12,0.0025406823254437477
деревне,0.0025406823254437477
одинаково,0.0025406823254437477
хуже,0.0025406823254437477
самому,0.0025406823254437477
болконского,0.0025406823254437477
человеком,0.0025406823254437477
сони,0.0025406823254437477
плечами,0.0025406823254437477
действие,0.0025406823254437477
коли,0.0025406823254437477
французами,0.0025406823254437477
необходимо,0.0025406823254437477
кампании,0.0025406823254437477
взять,0.0025406823254437477
план,0.0025406823254437477
ходил,0.0024944881013447707
едва,0.0024944881013447707
заметив,0.0024944881013447707
внимания,0.0024944881013447707
ею,0.0024944881013447707
голосов,0.0024944881013447707
движением,0.0024944881013447707
дядюшка,0.0024944881013447707
меньше,0.0024944881013447707
мир,0.0024944881013447707
утром,0.0024944881013447707
немного,0.0024944881013447707
ти,0.0024944881013447707
понимать,0.0024944881013447707
вошла,0.0024944881013447707
пять,0.0024944881013447707
какого,0.002448293877245793
звук,0.002448293877245793
год,0.002448293877245793
народов,0.002448293877245793
французского,0.002448293877245793
приказал,0.002448293877245793
положения,0.002448293877245793
никак,0.002448293877245793
сознание,0.002448293877245793
столу,0.002448293877245793
выше,0.002448293877245793
багратиона,0.002448293877245793
адъютанта,0.002448293877245793
постоянно,0.002448293877245793
прелесть,0.002448293877245793
войне,0.002448293877245793
которыми,0.002448293877245793
мгновение,0.002448293877245793
любит,0.002448293877245793
мои,0.002448293877245793
вниз,0.002448293877245793
ура,0.002448293877245793
слушая,0.002448293877245793
общество,0.002402099653146816
лицах,0.002402099653146816
tre,0.002402099653146816
приказание,0.002402099653146816
событие,0.002402099653146816
силу,0.002402099653146816
последний,0.002402099653146816
степени,0.002402099653146816
разговора,0.002402099653146816
делает,0.002402099653146816
людям,0.002402099653146816
понимая,0.002402099653146816
твердо,0.002402099653146816
пьером,0.002402099653146816
батюшка,0.002402099653146816
капитан,0.002402099653146816
окна,0.002402099653146816
гору,0.0023559054290478386
moi,0.0023559054290478386
полку,0.0023559054290478386
продолжала,0.0023559054290478386
дней,0.0023559054290478386
огонь,0.0023559054290478386
общества,0.0023559054290478386
мыслей,0.0023559054290478386
шаги,0.0023559054290478386
моей,0.0023559054290478386
третий,0.0023559054290478386
духа,0.0023559054290478386
рассказал,0.0023559054290478386
числа,0.0023559054290478386
генералу,0.0023559054290478386
делалось,0.0023559054290478386
homme,0.0023559054290478386
ужасно,0.0023559054290478386
марью,0.0023559054290478386
пошла,0.0023559054290478386
неприятно,0.0023097112049488616
оттуда,0.0023097112049488616
вон,0.0023097112049488616
проговорила,0.0023097112049488616
силах,0.0023097112049488616
скажите,0.0023097112049488616
головы,0.0023097112049488616
шопотом,0.0023097112049488616
позиции,0.0023097112049488616
улыбка,0.0023097112049488616
отвечать,0.0023097112049488616
мнение,0.0023097112049488616
происходило,0.0023097112049488616
соне,0.0023097112049488616
солнце,0.0022635169808498845
графине,0.0022635169808498845
первого,0.0022635169808498845
голова,0.0022635169808498845
женщин,0.0022635169808498845
стол,0.0022635169808498845
деятельности,0.0022635169808498845
неприятель,0.0022635169808498845
позади,0.0022635169808498845
орудия,0.0022635169808498845
вера,0.0022635169808498845
решительно,0.0022635169808498845
первых,0.0022635169808498845
подъехал,0.0022635169808498845
наше,0.0022635169808498845
страха,0.0022635169808498845
стороне,0.0022635169808498845
найти,0.0022635169808498845
просил,0.0022635169808498845
смеясь,0.0022635169808498845
жене,0.0022635169808498845
скажи,0.0022635169808498845
непременно,0.0022635169808498845
принял,0.0022635169808498845
говорите,0.0022635169808498845
полковой,0.0022635169808498845
соней,0.002217322756750907
билибин,0.002217322756750907
просить,0.002217322756750907
обыкновенно,0.002217322756750907
принять,0.002217322756750907
нами,0.002217322756750907
маленькой,0.002217322756750907
этими,0.002217322756750907
почтительно,0.002217322756750907
девушка,0.002217322756750907
счастлив,0.002217322756750907
отцу,0.002217322756750907
приятно,0.002217322756750907
мере,0.002217322756750907
дворе,0.002217322756750907
часу,0.002217322756750907
нашего,0.002217322756750907
рода,0.002217322756750907
большие,0.002217322756750907
другу,0.002217322756750907
необходимость,0.002217322756750907
поди,0.002217322756750907
вообще,0.002217322756750907
сил,0.00217112853265193
ваш,0.00217112853265193
жил,0.00217112853265193
также,0.00217112853265193
моего,0.00217112853265193
действия,0.00217112853265193
ah,0.00217112853265193
узнав,0.00217112853265193
отношения,0.00217112853265193
голубчик,0.00217112853265193
села,0.00217112853265193
другая,0.00217112853265193
поздно,0.00217112853265193
целью,0.00217112853265193
участие,0.00217112853265193
боялся,0.00217112853265193
тоном,0.00217112853265193
землю,0.00217112853265193
частью,0.00217112853265193
вышли,0.0021249343085529525
вижу,0.0021249343085529525
читал,0.0021249343085529525
предложение,0.0021249343085529525
улыбнулась,0.0021249343085529525
неловко,0.0021249343085529525
детей,0.0021249343085529525
отвернулся,0.0021249343085529525
спать,0.0021249343085529525
имели,0.0021249343085529525
первую,0.0021249343085529525
русский,0.0021249343085529525
