Artikel;Price EUR;RG
11311722664;12,09;24
31122160591;12,09;15
64536956712;12,09;19
07119906069;12,09;23
18207801066;12,09;24
34317692791;12,09;32
34312314289;12,09;32
61139358436;13,21;23
61149155662;13,21;23
13717716029;13,21;20
51717037664;13,21;15
61131459931;13,21;22
35311162363;13,21;15
65136954298;13,21;19
61131459002;13,21;22
34311236821;13,21;22
24807729779;13,21;20
11317707777;13,21;24
51142324008;13,21;22
51142324000;13,21;22
84116905100;13,21;19
54377148160;46,28;19
32737676566;46,28;28
41007413085;46,28;24
32737714281;46,28;28
32737670567;46,28;28
41007413086;46,28;24
51216961441;46,28;31
32737714282;46,28;28
32737670568;46,28;28
51477458389;46,28;19
32737676567;46,28;28
25111434496;46,28;31
61136928922;16,43;23
51167156474;14,02;19
51337177624;14,02;19
51337177623;14,02;19
51117183519;14,02;19
54347219120;14,02;19
63319472769;14,02;17
51437298818;14,02;19
34116789073;41,32;27
61316953069;61,16;24
13908607026;61,16;19
13908601845;61,16;19
51377294341;114,25;27
51347119978;114,25;27
51453453072;114,25;19
51337060264;114,25;27
51453416029;114,25;19
51337145922;114,25;27
51321969295;114,25;17
51453452751;114,25;19
51347060268;114,25;27
34216864900;114,25;43
34216864899;114,25;43
51337145921;114,25;27
51337060263;114,25;27
34206886482;114,25;43
51347119977;114,25;27
51453453080;114,25;19
34206868936;114,25;43
51337119200;114,25;27
51347060267;114,25;27
51337119199;114,25;27
51497424422;28,1;19
51139802757;28,1;23
51497383563;28,1;19
51137344182;28,1;23
61318556595;28,1;28
51139802758;28,1;23
51497076860;28,1;19
51453417442;28,1;19
51139808778;28,1;23
51493418685;28,1;19
51139808777;28,1;23
52107076684;28,1;19
51137344181;28,1;23
51493418684;28,1;19
52107076680;28,1;19
51497383562;28,1;19
61346977675;33,06;23
54347000355;33,06;15
31427674014;33,06;32
31427673788;33,06;20
52207401846;33,06;19
27727712277;33,06;28
16117225187;33,06;19
31427673787;33,06;20
61317694661;22,31;20
41137263762;22,31;19
46628522122;10,74;20
46628522121;10,74;20
33321489311;10,74;27
51467057645;10,74;24
51467057643;10,74;24
11312245123;10,74;15
51479121821;10,74;24
51467057644;10,74;24
33321489312;10,74;27
12427514344;10,74;15
63117217008;10,74;23
51317185053;10,74;31
41332165622;10,74;15
51417023911;10,74;24
46618530541;54,85;16
61337400703;54,85;27
46618556414;54,85;16
61337313625;54,85;27
52206984869;54,85;19
12427790368;54,85;15
61337850334;54,85;27
46618533763;54,85;16
12517542072;54,85;15
46617693324;54,85;16
51148565378;72,81;20
51148565377;72,81;20
36111092917;72,81;31
51337458245;72,81;19
51248196401;38,3;27
51767153458;38,3;20
51767153457;38,3;20
11342700551;38,3;14
11611736170;38,3;24
61674428617;38,3;31
51459805653;38,3;17
11417717349;40,58;20
52108226402;40,58;19
22326852989;40,58;17
64228402113;40,58;24
51177238101;32,09;24
51148394658;32,09;20
35316762250;32,09;31
35316761310;32,09;31
65152502606;32,09;19
65209325734;32,09;20
37136751814;32,09;23
11287636370;32,09;23
61321390974;53,88;19
52107042981;53,88;19
52107046003;53,88;19
65136961310;53,88;19
61321390976;53,88;19
61316911546;34;19
31428548880;53,88;32
11127688869;34;20
65200399273;53,88;17
11147653424;34;32
51167126540;34;20
51472231953;53,88;35
64219802831;34;27
46632308103;53,88;22
33526769943;53,88;27
11121342459;34;20
13712246978;53,88;27
51167126539;34;20
61316911543;34;19
13717805173;53,88;27
61316911545;34;19
32729457893;34;20
11121341516;34;20
51487197871;34;24
61318368915;34;23
51474822801;34;13
63137165734;33,47;19
63171379111;33,47;15
65139134522;33,47;27
63171379112;33,47;15
13627503208;33,47;27
41007493284;33,47;23
51347295569;33,47;19
41007493283;33,47;23
51767279767;33,47;19
41009879792;33,47;23
51347315418;33,47;19
51347295570;33,47;19
11347539916;33,47;23
41009879791;33,47;23
51347315417;33,47;19
51767279768;33,47;19
85450043567;45,14;24
51423404083;45,14;24
51127226935;45,14;15
51127178185;45,14;15
51117289990;45,14;15
17118619624;45,14;31
72177215574;45,14;15
51118068127;45,14;15
51127226936;45,14;15
13713400203;45,14;27
85450044044;45,14;24
32306752957;45,14;24
17107768982;41,41;14
11341305834;41,41;14
63175A38E17;43,48;27
64226914208;43,48;19
63179879004;43,48;27
63175A204E6;43,48;27
63175A38E21;43,48;27
