id,Word,Frequency
1308,уходила,33
1309,большая,165
1310,половина,66
1311,служебного,11
1312,времени,165
1313,мои,572
1314,состоявшие,11
1315,особым,44
1316,поручениям,11
1317,обязаны,11
1318,сидеть,132
1319,нуждались,11
1320,вовсе,176
1321,канцелярских,11
1322,курильных,11
1323,закоулках,11
1324,всетаки,297
1325,каждый,132
1326,считал,22
1327,обязанностью,11
1328,прийти,44
1329,покоптить,11
1330,папиросным,11
1331,дымом,11
1332,стены,132
1333,комнаты,165
1334,находившейся,11
1335,эта,825
1336,комната,11
1337,для,1760
1338,сборным,11
1339,местом,11
1340,которое,143
1341,всякий,440
1342,поболтать,11
1343,посплетничать,11
1344,посмеяться,22
1345,посоветоваться,11
1346,наработавшись,11
1347,вволю,33
1348,пересмотром,11
1349,оконченного,11
1350,мною,341
1351,следствия,33
1352,вышел,462
1353,прогуляться,33
1354,прекрасный,22
1355,теплый,44
1356,крыш,11
1357,падали,33
1358,капели,11
1359,перекрестках,11
1360,улиц,11
1361,стояли,165
1362,лужи,11
1363,шаг,132
1364,шагом,33
1365,дошел,44
1366,вздумал,88
1367,зайти,22
1368,покурить,33
1369,правитель,77
1370,докладом,11
1371,губернатора,33
1372,комнате,264
1373,застал,99
1374,двух,330
1375,помощников,22
1376,правителя,44
1377,полицмейстера,22
1378,моих,176
1379,товарищей,22
1380,возвратившегося,11
1381,дальнего,11
1382,уезда,77
1383,пожав,55
1384,поданные,11
1385,закурил,66
1386,папироску,33
1387,окно,506
1388,ничем,187
1389,прерывая,11
1390,беседы,11
1391,начатой,11
1392,моего,385
1393,прихода,22
1394,возвратившийся,22
1395,чиновник,176
1396,жаром,11
1397,рассказывал,77
1398,об,506
1399,открытых,11
1400,злоупотреблениях,11
1401,одному,198
1402,полицейскому,22
1403,управлению,11
1404,рассказе,44
1405,собственно,55
1406,занимательного,11
1407,рассказом,22
1408,этим,770
1409,заинтересован,11
1410,рассказчик,33
1411,веровавший,11
1412,нашей,286
