Word,TF-IDF Score
видно,0.0010240744188899978
полно,0.0010229501854747724
ноги,0.0010204514554332544
спрашивал,0.0010182976909336005
досадой,0.0010130022522405846
едва,0.0010112492130756809
идти,0.0010103216668370934
закричал,0.001007557335536659
друга,0.0010055976200884383
брат,0.0010051797294135774
изумлением,0.0009985595008326089
одной,0.00098499114010002
другое,0.000984008966672725
пор,0.0009835618221925506
глазах,0.0009831860331768294
вслух,0.000979704550552752
иванович,0.0009758202973817764
место,0.0009705027271938998
отозвался,0.0009675735269144012
вместе,0.0009641976551868408
иначе,0.000962096572180213
оттого,0.0009620661456109403
бывает,0.0009606187524031305
покойно,0.0009587754871483768
просто,0.0009578008683345263
обеда,0.0009559309957474344
видал,0.0009534617319344882
выпьем,0.0009483574615225334
молча,0.0009458577550677536
двери,0.000943918137929944
пять,0.0009414293921757011
всем,0.0009402200500404155
голосом,0.0009357266178186914
письма,0.0009324108119039837
вздохом,0.000931818061068179
вопрос,0.000931361177829278
забыл,0.0009287134278822761
однажды,0.0009269488965237143
взглядом,0.0009264908564627955
хочу,0.0009258980116829949
женщина,0.0009256620868396899
буду,0.0009237498515525387
пока,0.0009224922817008355
весело,0.0009220924275895184
комнату,0.0009194584098065317
те,0.0009187519138478816
нетерпением,0.0009180866394078123
ко,0.000914066846002559
мысли,0.000912543830760908
сел,0.000910436694277917
дал,0.0009092981465951128
батюшка,0.0009076790380746498
нетерпеливо,0.0009064340712307748
вся,0.0009048343344784285
границу,0.0009021055565359215
прощайте,0.0009013813167308206
усмехнулась,0.0008984574126925861
всякий,0.0008973944841475661
одно,0.0008953754506443287
другую,0.0008947227016344603
легко,0.0008933694937190148
стоит,0.0008933610562201071
недели,0.0008917465379780542
десять,0.0008909815360953837
первый,0.0008866149855363153
остановился,0.0008862237671313227
больно,0.0008855304618525189
бога,0.0008816359658485435
глядел,0.0008813147787419656
мать,0.0008796686265523946
спрашивала,0.0008788387951612739
повторила,0.0008707346560441673
ответа,0.0008695048343692365
платье,0.0008681382983030463
других,0.000863312785615824
прямо,0.0008605956682458817
знаете,0.0008600095150261536
стол,0.0008547375397247026
ними,0.0008545101981679471
делает,0.0008545044496159212
скоро,0.0008528529526917567
каждый,0.0008521979261293916
счастья,0.0008504551657318083
уехал,0.0008492437516972695
строго,0.0008482121958968829
иваныч,0.0008481135565033065
шел,0.0008480522434533625
комнате,0.0008478595987861864
слава,0.0008463148660778325
город,0.0008435600260897112
свои,0.0008434714047110757
такие,0.0008429065342858888
думать,0.0008414187995715708
книги,0.0008410352160072184
придет,0.0008395728670912581
стороны,0.0008377923976593795
ребенок,0.0008372359425873547
ma,0.0008366806816691275
братец,0.0008365801345435214
забыла,0.0008356417472944651
долг,0.0008347793688675081
дворник,0.0008346642750871349
взглянул,0.0008332250486835428
хочется,0.0008316499180342263
души,0.0008309381438374173
делается,0.0008298978525434572
никак,0.0008253934324130304
медленно,0.0008245103646757525
человека,0.0008239648102725108
хотя,0.0008200875032101839
пишет,0.0008197186588527177
лица,0.0008194115660237719
дня,0.0008193506022166611
богу,0.000814217574976515
свадьба,0.0008134788018972055
пора,0.0008126074378151998
живо,0.0008111850098466448
пошла,0.0008075698585994338
смотрит,0.0008068259934653096
знала,0.0008053955974083228
ильича,0.000805323277243872
сами,0.0008018784926862126
чай,0.0008007224869587564
хотите,0.0007968437685928648
эй,0.0007949598777964557
бывало,0.0007942473968099905
быстро,0.0007942452805295368
делал,0.0007919958557480342
кофе,0.0007879650519999394
