Bigram,Count
делать сказал,2
дома скажи,2
марьи михайловны,2
сказала глядя,2
послушай сказал,2
дал денег,2
днях заеду,2
отвечала монотонно,2
глядел молча,2
отвечал задумался,2
понадобилось написать,2
черт вами,2
всякого рода,2
быстро обернулась,2
лицо тени,2
слушала рассеянно,2
последнего дня,2
бывает спросил,2
близком человеке,2
глубокая тишина,2
думал думал,2
каждую неделю,2
поговорили несчастья,2
дадут тебе,2
глубоко задумался,2
кучу сухарей,2
нечего сказать,2
знаю значит,2
большей любовью,2
милитрисе кирбитьевне,2
другую улицу,2
навострив уши,2
тебе пусто,2
глаза говорят,2
деревенского дома,2
третьем году,2
сказал протягивая,2
отрывисто сказал,2
неурожай недоимки,2
противоположную сторону,2
огня дыма,2
передать квартиру,2
сколько хочешь,2
поглядела тупо,2
это слова,2
сказала самом,2
своему барину,2
таким усердием,2
амбара кухню,2
такие письма,2
странно сказала,2
смотрите странно,2
двое ребятишек,2
понимания жизни,2
мохнатую руку,2
положил книгу,2
сто лет,2
стал смотреть,2
мягко добротой,2
больно больно,2
каждом слове,2
тетки та,2
негде жить,2
бывало парке,2
пожелтевшую времени,2
анна андреевна,2
сбывают плеч,2
пожал руку,2
это барин,2
отец сказал,2
сказал делать,2
сами смотрите,2
вместе это,2
обращал глаза,2
свет который,2
выплеснет воду,2
день вчера,2
возьму денег,2
двумя пальцами,2
сказал думал,2
удивлением возразила,2
серо голубые,2
близко взглядывала,2
сбыть души,2
ночью писать,2
любит других,2
целуя руку,2
удовлетворенных желаний,2
курс ученья,2
начала рваться,2
это дело,2
правда зато,2
глаза небу,2
день день,2
бежит весело,2
учился жил,2
велел любить,2
сорвала ветку,2
произнес иванович,2
отдать справедливость,2
видеться реже,2
нам видеться,2
домашней жизни,2
устроил дела,2
рублей месяц,2
долг обязанность,2
жизнь долг,2
год год,2
болит голова,2
часов восемь,2
такое сказал,2
тысячу двести,2
волосы пудрой,2
большей части,2
толчет трет,2
умер погиб,2
пироги грибами,2
кой чорт,2
марья онисимовна,2
барин сказал,2
тридцать рублей,2
это помнишь,2
завтра пошлю,2
беспокойством спрашивал,2
начале рассказа,2
хочу говорить,2
войдя комнату,2
сама собой,2
чернила засохли,2
